Mineral,Name,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,NiO,Na2O,K2O,Total,Date,dataset
chr,LB1-3,0.03,0.15,9.46,0.29,59.39,10.6,0.01,0.28,18.75,0.07,0.01,0.02,99.06,2011-10-29,train
cpx,LB10-47,54.71,0,2.1,0,0.87,16.87,23.27,0.07,1.24,0.04,0.93,0,100.11,2012-02-21 16:17,test
cpx,LB11-18,53.41,0.01,2.37,0.03,1.09,16.92,23.06,0.09,1.16,0.04,1.08,0.01,99.26,2012-03-02 18:07,train
cpx,LB10-55,54.4,0.01,2.29,0.03,0.91,16.99,23.2,0.06,1.17,0.01,1.01,0.01,100.09,2012-02-21 16:48,train
cpx,LB10-65,54.58,0.02,1.94,0.01,0.79,17.12,23.35,0.05,1.29,0.07,0.83,0.01,100.08,2012-02-21 17:27,test
cpx,LB7-41,54.4,0.03,1.41,0.02,0.8,17.16,23.19,0.05,1.44,0.03,0.71,0,99.25,2011-10-29,train
cpx,LB10-56,54.84,0.01,1.93,0.01,0.82,17.18,23.46,0.04,1.12,0.03,0.9,0,100.34,2012-02-21 16:52,train
cpx,LB10-46,54.7,0.02,2.18,0.03,0.87,17.33,22.68,0.07,1.44,0.02,0.87,0,100.22,2012-02-21 16:13,test
cpx,LB5-1-16,53.16,-0.01,1.43,0.03,0.63,17.36,24.2,0.06,1.51,0.05,0.39,0.01,98.83,2011-10-28,train
cpx,LB12-50,54.1,0.01,2.15,0,0.81,17.36,23.93,0.04,1.27,0.03,0.57,0,100.27,2012-02-16 23:14,train
cpx,LB5-1-1,53.72,0,1.13,0.03,0.6,17.42,24.29,0.06,1.39,0.05,0.3,0,99.01,2011-10-28,test
cpx,LB5-1-25,53.17,0,1.29,0.03,0.62,17.42,24.26,0.06,1.39,0.04,0.42,0,98.71,2011-10-28,train
cpx,LB3-5,53.41,0,2.11,0.02,0.57,17.42,23.21,0.06,1.48,0.05,0.75,0,99.08,2012-02-18 1:52,train
cpx,LB12-49,54.23,0.02,1.96,0.03,0.65,17.45,24.15,0.06,1.27,0.03,0.55,0,100.4,2012-02-16 23:11,test
cpx,LB5-1-49,53.89,0.02,1.15,0.02,0.49,17.46,24.3,0.07,1.33,0.05,0.34,0,99.13,2011-10-29,train
cpx,P4-10-1,55.71,0,2.06,1.47,0.07,17.46,23.46,0.66,0.01,0.62,0.05,0.01,101.58,2012-03-13 22:15,train
cpx,LB5-1-51,53.72,0,1.18,0.03,0.79,17.48,24.14,0.06,1.43,0.05,0.35,0.01,99.24,2011-10-29,test
cpx,LB5-1-2,53.78,0.01,1.23,0.01,0.54,17.49,24.16,0.06,1.35,0.03,0.35,0,99.01,2011-10-28,train
cpx,LB5-1-30,53.65,0.01,1.21,0.02,0.56,17.5,24.19,0.07,1.35,0.04,0.33,0,98.93,2011-10-29,train
cpx,LB5-1-47,54.01,0.01,1.15,0.01,0.45,17.52,24.24,0.05,1.39,0.05,0.31,0.01,99.19,2011-10-29,test
cpx,LB3-29,53.26,0,1.9,0.04,0.55,17.52,23.26,0.08,1.5,0.04,0.75,0.01,98.91,2012-02-18 3:26,test
cpx,LB15-24,54.33,0,1.81,0.02,0.81,17.52,23.56,0.06,1.26,0.03,0.69,0,100.09,2012-02-17 6:24,train
